797,0,Саратов,Саратовская область,Приволжский,836900,1590
62,0,Уфа,Башкортостан,Приволжский,1062300,1574
771,0,Тольятти,Самарская область,Приволжский,719484,1737
159,0,Воронеж,Воронежская область,Центральный,889989,1586
1009,0,Хабаровск,Хабаровский край,Дальневосточный,577668,1858
606,0,Нижний Новгород,Нижегородская область,Приволжский,1250615,1221
222,0,Иркутск,Иркутская область,Сибирский,587225,1661
1109,0,Ярославль,Ярославская область,Центральный,591486,1010
1002,0,Ульяновск,Ульяновская область,Приволжский,613793,1648
993,0,Ижевск,Удмуртия,Приволжский,628117,1760
121,0,Волгоград,Волгоградская область,Южный,1021244,1589
634,0,Новосибирск,Новосибирская область,Сибирский,1498921,1893
693,0,Пермь,Пермский край,Приволжский,1000679,1723
829,0,Екатеринбург,Свердловская область,Уральский,1377738,1723
1058,0,Челябинск,Челябинская область,Уральский,1130273,1736
769,0,Самара,Самарская область,Приволжский,1164900,1586
490,0,Москва,Москва,Центральный,11514330,1147
380,0,Краснодар,Краснодарский край,Южный,744933,1793
0,0,TestCity,Test,TestDistr,1,2022
653,0,Оренбург,Оренбургская область,Приволжский,570329,1743
922,0,Казань,Татарстан,Приволжский,1143546,1005
5,0,Барнаул,Алтайский край,Сибирский,612091,1730
315,0,Кемерово,Кемеровская область,Сибирский,532884,1918
643,0,Омск,Омская область,Сибирский,1154000,1716
410,0,Красноярск,Красноярский край,Сибирский,1000000,1628
989,0,Тюмень,Тюменская область,Уральский,581758,1586
704,0,Владивосток,Приморский край,Дальневосточный,592069,1860
177,0,Махачкала,Дагестан,Северо-Кавказский,577990,1844
744,0,Ростов-на-Дону,Ростовская область,Южный,1091544,1749
781,0,Санкт-Петербург,Санкт-Петербург,Северо-Западный,4848742,1703
321,0,Новокузнецк,Кемеровская область,Сибирский,547885,1618
